rating,date,variation,verified_reviews,feedback,processed_reviews
5,30-Jul-18,Charcoal Fabric ,I love it. It plays my sleep sounds immediately when I ask,1.0,love play sleep sound immedi ask
5,30-Jul-18,Sandstone Fabric ,Amazing product,1.0,amaz product
5,30-Jul-18,Charcoal Fabric ,"""I love my Echo. It's easy to operate, loads of fun.It is everything as advertised. I use it mainly to play my favorite tunes and test Alexa's knowledge.""",1.0,love echo easi oper load funit everyth advertis use mainli play favorit tune test alexa knowledg
5,30-Jul-18,Charcoal Fabric ,Sounds great!! Love them!,1.0,sound great love
4,30-Jul-18,Charcoal Fabric ,"""Fun item to play with and get used to using.  Sometimes has hard time answering the questions you ask, but I think it will be better.""",1.0,fun item play get use use sometim hard time answer question ask think better
5,30-Jul-18,Charcoal Fabric ,Just like the other one,1.0,like one
5,30-Jul-18,Sandstone Fabric ,Still learning all the capabilities...but so far pretty pretty pretty good,1.0,still learn capabilitiesbut far pretti pretti pretti good
4,30-Jul-18,Charcoal Fabric ,I like it,1.0,like
5,30-Jul-18,Sandstone Fabric ,"""She works well. Needs a learning command  for unique, owners and users like. Alexa “learn” Tasha’s birthday.  Or Alexa “learn” my definition of Fine. Etc. other than that she is great""",1.0,work well need learn command uniqu owner user like alexa learn tasha birthday alexa learn definit fine etc great
5,30-Jul-18,Charcoal Fabric ,This device is awesome!,1.0,devic awesom
5,30-Jul-18,Charcoal Fabric ,I bought this to compare the speaker quality to our first generation speaker and i like the sound better.  I will ship this to my daughter though because I like the fact that my first generation has a chargeable base that we bought which keeps it more mobile and she needs a better sound than what she has now.,1.0,bought compar speaker qualiti first gener speaker like sound better ship daughter though like fact first gener chargeabl base bought keep mobil need better sound
5,30-Jul-18,Sandstone Fabric ,"""Love my Echo. Still learning all the things it will do. Wasn’t able to follow instructions included in the package, but found a great one on U-Tube.""",1.0,love echo still learn thing wasnt abl follow instruct includ packag found great one utub
4,30-Jul-18,Heather Gray Fabric ,Speaker is better than 1st generation Echo,1.0,speaker better st gener echo
5,30-Jul-18,Charcoal Fabric ,"""This thing is way cool!  You should get one.  If you want to be cool, that is.""",1.0,thing way cool get one want cool
5,30-Jul-18,Heather Gray Fabric ,"""This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!""",1.0,first digit assist im give good review speaker realli good cheap price prime day fun play use alarm clock that go get first place end echo havent go one definit tri itwhat like best number devic connect purchas came smart plug connect lamp alexa turn light
5,30-Jul-18,Charcoal Fabric ,My husband likes being able to use it to listen to music.  I wish we knew all it's capabilities,1.0,husband like abl use listen music wish knew capabl
5,30-Jul-18,Charcoal Fabric ,"""My Android would not allow Alexa to connect. Fortunately, my sister was here with her Apple cell. After an hour+ tech support fixed the glitches. We are up and running.""",1.0,android would allow alexa connect fortun sister appl cell hour tech support fix glitch run
4,30-Jul-18,Charcoal Fabric ,So far so good,1.0,far good
5,30-Jul-18,Charcoal Fabric ,Tried to play certain broadway shows like Camelot and it gives ne the group Camelot.,1.0,tri play certain broadway show like camelot give ne group camelot
5,30-Jul-18,Sandstone Fabric ,Great,1.0,great
5,30-Jul-18,Walnut Finish ,Very satisfied with the Echo. Alexa now controls the lights in my family room and my wife can listen to Jimmy Buffet by just asking Alexa.,1.0,satisfi echo alexa control light famili room wife listen jimmi buffet ask alexa
2,30-Jul-18,Charcoal Fabric ,"""It's like Siri, in fact, Siri answers more accurately then Alexa.  I don't see a real need for it in my household, though it was a good bargain on prime day deals.""",0.0,like siri fact siri answer accur alexa dont see real need household though good bargain prime day deal
5,30-Jul-18,Charcoal Fabric ,Love my Echo. Still learning how every thing works but having tons of fun.,1.0,love echo still learn everi thing work ton fun
5,30-Jul-18,Heather Gray Fabric ,I love you so much,1.0,love much
5,30-Jul-18,Charcoal Fabric ,"""Excelente, lo unico es que no esta en español.""",1.0,excelent lo unico es que esta en espaol
5,30-Jul-18,Charcoal Fabric ,"""I'm still learning how to use it, but so far my Echo is great! The sound is actually much better than I was expecting.""",1.0,im still learn use far echo great sound actual much better expect
5,30-Jul-18,Charcoal Fabric ,Works as you’d expect and then some. Also good sound quality considering price (70.00 on sale) and features.,1.0,work youd expect also good sound qualiti consid price sale featur
5,30-Jul-18,Charcoal Fabric ,The sound from this Echo 2nd Generation is phenomenal!  Not to mention that I just love Alexa!  She is very helpful.,1.0,sound echo nd gener phenomen mention love alexa help
5,30-Jul-18,Charcoal Fabric ,Just had to have it and now lets play and learn how to get the most out of it.,1.0,let play learn get
5,30-Jul-18,Charcoal Fabric ,Works as advertised. Very easy to setup. Still learning what this can do.,1.0,work advertis easi setup still learn
4,30-Jul-18,Charcoal Fabric ,Great sound and easy to set up.,1.0,great sound easi set
5,30-Jul-18,Oak Finish ,"""Love Alexa, bought others for friends""",1.0,love alexa bought other friend
5,30-Jul-18,Charcoal Fabric ,Love the echo I purchased it for company for my husband he is 83 and Alexa is great all he has to do is say her name and she tells him a joke and plays his favorite songs,1.0,love echo purchas compani husband alexa great say name tell joke play favorit song
5,30-Jul-18,Heather Gray Fabric ,😍,1.0,
5,30-Jul-18,Charcoal Fabric ,Love being able to listen to music easily. Still learning all the features available,1.0,love abl listen music easili still learn featur avail
4,30-Jul-18,Heather Gray Fabric ,"""Did t really know what I could use this device for. Used it for a few things, but need an overview""",1.0,realli know could use devic use thing need overview
5,30-Jul-18,Heather Gray Fabric ,Love this just wish it had a built in hub,1.0,love wish built hub
5,30-Jul-18,Charcoal Fabric ,I use it primarily to play music.  It works wonderfully!  Still getting used to some of the many things it will do.  Amazon has sent several tips since I got it. Thanks for all your help!,1.0,use primarili play music work wonder still get use mani thing amazon sent sever tip sinc got thank help
5,30-Jul-18,Charcoal Fabric ,How easy if was to set up.,1.0,easi set
4,30-Jul-18,Charcoal Fabric ,Fast response which was amazing.  Clear concise answers and sound quality is fantastic.  I am still getting used to Alexia and have not usde Echo to its full extent.,1.0,fast respons amaz clear concis answer sound qualiti fantast still get use alexia usd echo full extent
5,30-Jul-18,Charcoal Fabric ,You’re all I need...na na nana!,1.0,your needna na nana
5,30-Jul-18,Charcoal Fabric ,Does everything as expected and more.,1.0,everyth expect
5,30-Jul-18,Sandstone Fabric ,"""I love my Echo!  Works just like they said it would. I don't have a &#34;smart&#34; home, so I cannot speak about that function, but everything else about it is good.""",1.0,love echo work like said would dont smart home cannot speak function everyth els good
5,30-Jul-18,Charcoal Fabric ,Great sound in a small package—easy to set up and use; fun to own.,1.0,great sound small packageeasi set use fun
5,30-Jul-18,Charcoal Fabric ,Works and sounds great.,1.0,work sound great
5,30-Jul-18,Heather Gray Fabric ,The sound is amazing and many collections of all music,1.0,sound amaz mani collect music
4,30-Jul-18,Sandstone Fabric ,Setting up,1.0,set
5,30-Jul-18,Heather Gray Fabric ,She doesn’t always listen,1.0,doesnt alway listen
5,30-Jul-18,Charcoal Fabric ,It’s awesome,1.0,awesom
4,30-Jul-18,Heather Gray Fabric ,"""I bought this because it can control fios television. It works well. I’m hoping over time it will do more to control fios. Then I discovered all the other things Alexa can do. Play music you ask for. Great sound from Alexa. Play games. Play radio stations. Play old time radio programs like the Long Ranger. Alexa has many “apps” you can add to her abilities. The other day I played Madlibs. Great fun. Also Alexa can control household appliances. I just purchased Alexa compatible power strips to control lighting, fans and TV components. I’m looking forward to implementing this controll. You can also add other Alexa components to have chosen music to play in all rooms where the components are located.""",1.0,bought control fio televis work well im hope time control fio discov thing alexa play music ask great sound alexa play game play radio station play old time radio program like long ranger alexa mani app add abil day play madlib great fun also alexa control household applianc purchas alexa compat power strip control light fan tv compon im look forward implement control also add alexa compon chosen music play room compon locat
5,30-Jul-18,Heather Gray Fabric ,The speaker has excellent sound and works perfectly!,1.0,speaker excel sound work perfectli
5,30-Jul-18,Charcoal Fabric ,I LIKE IT ALL,1.0,like
5,30-Jul-18,Charcoal Fabric ,I love it. It does everything,1.0,love everyth
5,30-Jul-18,Heather Gray Fabric ,I was a little nervous when I received my new Echo as I'm not really Tech savvy. I found it a bit intimidating at first but it didn't take me to long to figure it out!! I'm very happy with my purchase and now thinking of adding an echo spot!!!,1.0,littl nervou receiv new echo im realli tech savvi found bit intimid first didnt take long figur im happi purchas think ad echo spot
4,30-Jul-18,Charcoal Fabric ,I like it and still learning how to use it.,1.0,like still learn use
5,30-Jul-18,Charcoal Fabric ,Great technology!! Can't believe the speaker volume and quality is so wonderful. Wish I had bought another one!,1.0,great technolog cant believ speaker volum qualiti wonder wish bought anoth one
5,30-Jul-18,Heather Gray Fabric ,"""I purchased an echo dot for my husband for Fathers Day.  He uses it constantly and after hearing the quality of sound of the Echo (2nd Generation), It was a no-brainer.  Best gift ever!""",1.0,purchas echo dot husband father day use constantli hear qualiti sound echo nd gener nobrain best gift ever
4,30-Jul-18,Charcoal Fabric ,Works fine!!,1.0,work fine
5,30-Jul-18,Heather Gray Fabric , ,1.0,
5,30-Jul-18,Charcoal Fabric ,Clear music,1.0,clear music
5,30-Jul-18,Charcoal Fabric ,"""Fun to use, good sound quality""",1.0,fun use good sound qualiti
5,30-Jul-18,Sandstone Fabric ,The echo works well. I was able to sync it with my other Amazon music devices.,1.0,echo work well abl sync amazon music devic
5,30-Jul-18,Charcoal Fabric ,"""Works great, but I don't think Amazon should charge another cent for unlimited music when you 1) Have Prime AND 2) Buy an Echo.""",1.0,work great dont think amazon charg anoth cent unlimit music prime buy echo
5,30-Jul-18,Charcoal Fabric ,Already had an Echo Dot. The Echo is even better with fuller sound. Also during setup it now lets phone calls to be made to my contact list which is great!,1.0,alreadi echo dot echo even better fuller sound also setup let phone call made contact list great
5,30-Jul-18,Charcoal Fabric ,The speaker sounds really good,1.0,speaker sound realli good
5,30-Jul-18,Heather Gray Fabric ,Good sound works well,1.0,good sound work well
5,30-Jul-18,Charcoal Fabric ,Love it and Alexa. I am not very savvy but support was very helpful and patient.,1.0,love alexa savvi support help patient
5,30-Jul-18,Charcoal Fabric ,"""Love it! I was thinking about getting one and when the prime day discount was offered, I could not pass it up! It's fun to ask Alexa to play any song or group and she comes up with a playlist from Amazon Prime Music. You can also connect your iPhone with bluetooth and play music with Pandora or YouTube videos using Alexa as a speaker. I've been having fun asking Alexa different types of questions or for information like weather, news or even the time in other countries. The only downside is if you have limited data on your wifi plan, because Alexa uses burns it up when playing music.""",1.0,love think get one prime day discount offer could pass fun ask alexa play song group come playlist amazon prime music also connect iphon bluetooth play music pandora youtub video use alexa speaker ive fun ask alexa differ type question inform like weather news even time countri downsid limit data wifi plan alexa use burn play music
5,30-Jul-18,Charcoal Fabric ,"""We like it all so far, but have a lot to try out yet.""",1.0,like far lot tri yet
5,30-Jul-18,Heather Gray Fabric ,Love it - am using it strictly for music now and it's great!,1.0,love use strictli music great
5,30-Jul-18,Sandstone Fabric ,"""Love the Echo !!! I love the size, material and speaker quality. I have it hooked up to one light easily and will work on additional lights and thermostat. Next is Echo Dot for bedroom. There is a lot more to do with Echo that you think. Traffic, Weather, Trivia, etc.""",1.0,love echo love size materi speaker qualiti hook one light easili work addit light thermostat next echo dot bedroom lot echo think traffic weather trivia etc
4,30-Jul-18,Charcoal Fabric ,Love it!,1.0,love
5,30-Jul-18,Charcoal Fabric ,The entire family loves Alexa Echo. She’s now a part of this family.,1.0,entir famili love alexa echo she part famili
5,30-Jul-18,Walnut Finish ,"""Great fun getting to know all the functions of this product.  WOW -- family fun and homework help.  Talking with other grandchildren,who also have an Echo, is a HUGE bonus.  Can't wait to learn more and more and more""",1.0,great fun get know function product wow famili fun homework help talk grandchildrenwho also echo huge bonu cant wait learn
5,30-Jul-18,Heather Gray Fabric ,Love it!,1.0,love
5,30-Jul-18,Heather Gray Fabric ,"""awesome thing, love Alexa""",1.0,awesom thing love alexa
5,30-Jul-18,Charcoal Fabric ,It worked exactly as expected and the speaker has great sound. It is perfect for my classroom!,1.0,work exactli expect speaker great sound perfect classroom
5,30-Jul-18,Charcoal Fabric ,"""LOVE, LOVE this new little gadget.  Has  made our lives so much easier.  it's like having our own personal secretary living here in the home.  We hardly need our CD's anymore, since ALEXA plays everything we need.  Going to get the Alexa DOTS soon for more rooms.  Thanks!!""",1.0,love love new littl gadget made live much easier like person secretari live home hardli need cd anymor sinc alexa play everyth need go get alexa dot soon room thank
4,30-Jul-18,Heather Gray Fabric ,The speaker is of surprising quality. Happy with the purchase.,1.0,speaker surpris qualiti happi purchas
5,30-Jul-18,Charcoal Fabric ,Very easy to set up. Works wonderful and I love it!!,1.0,easi set work wonder love
5,30-Jul-18,Sandstone Fabric ,I'm really impressed with the sound quality when playing music from this device.  The bass sounds almost like it's coming from a bigger speaker so props to Amazon.,1.0,im realli impress sound qualiti play music devic bass sound almost like come bigger speaker prop amazon
4,30-Jul-18,Charcoal Fabric ,"""It’s still a great product.But the sound quality does seem worse.Don’t get me wrong. You definitely get used to it within an hour. But it definitely feels like echo gen 1 sound quality was better.Besides that , it’s great.With the addition of being able to play Just over Bluetooth with no WiFi, it’s even better.""",1.0,still great productbut sound qualiti seem worsedont get wrong definit get use within hour definit feel like echo gen sound qualiti betterbesid greatwith addit abl play bluetooth wifi even better
4,30-Jul-18,Sandstone Fabric ,The outlet does not work with it. Was disappointed in that.,1.0,outlet work disappoint
4,30-Jul-18,Charcoal Fabric ,"""Great device, responsive and helpful""",1.0,great devic respons help
2,30-Jul-18,Charcoal Fabric ,Sound is terrible if u want good music too get a bose,0.0,sound terribl u want good music get bose
4,30-Jul-18,Charcoal Fabric ,"""i liked the sound . what is troubling is that I paid extra money to have access to a million more songs. Sometimes it doesn't work. Ex. Alexa play Italian songs&#34; .don't have or don&#34; t understand. or play the opera Tosca, response &#34;sorry I don&#34;t have that.""",1.0,like sound troubl paid extra money access million song sometim doesnt work ex alexa play italian song dont understand play opera tosca respons sorri dont
5,30-Jul-18,Charcoal Fabric ,Easy to set up and use. Too bad it has to be plugged in. Would be nice to take it outside and operate on battery and recharged.,1.0,easi set use bad plug would nice take outsid oper batteri recharg
5,30-Jul-18,Charcoal Fabric ,Still learning all the ways to use it.  It is a real hit with my grandkids who ask it to play music and then dance to it.  (5 and 7 yrs).  Very cute.,1.0,still learn way use real hit grandkid ask play music danc yr cute
4,30-Jul-18,Oak Finish ,"""4.5 out of 5 Stars. I generally like this product. Its great at doing what you ask of it like playing music, setting timers, and making calls. Reason why I didn't rate it 5 out of 5 is that sometimes the connection dies and my Echo stops playing music and shows a red ring. Seems to be a connection issue. Overall, great product.""",1.0,star gener like product great ask like play music set timer make call reason didnt rate sometim connect die echo stop play music show red ring seem connect issu overal great product
5,30-Jul-18,Charcoal Fabric ,"""Works great, upgraded from echo dot to full size echo, couldn’t be happier!""",1.0,work great upgrad echo dot full size echo couldnt happier
5,30-Jul-18,Charcoal Fabric ,It's Alexa.... what else can you say,1.0,alexa els say
5,30-Jul-18,Charcoal Fabric ,Upgraded from my lilttle echo dot. Happy with sound,1.0,upgrad lilttl echo dot happi sound
4,30-Jul-18,Sandstone Fabric ,"""Excellent product, set up with ease as well.""",1.0,excel product set eas well
5,30-Jul-18,Heather Gray Fabric ,I've had the first gen Echo since it first came out and it has worked well for me. I purchased the 2nd gen during Prime Day and so far I'm happy. It seems to have an improved speaker which provides enhanced sound for music and such.,1.0,ive first gen echo sinc first came work well purchas nd gen prime day far im happi seem improv speaker provid enhanc sound music
5,30-Jul-18,Charcoal Fabric ,I love my Echo smart speaker.  I love the volume and clarity.  It was easy to set up.  ITs a wonderful gift for any age.,1.0,love echo smart speaker love volum clariti easi set wonder gift age
5,30-Jul-18,Charcoal Fabric ,wonderful product and fast delivery!,1.0,wonder product fast deliveri
4,30-Jul-18,Charcoal Fabric ,Initially harder to set up called tech wasn’t that knowledgeable now working great.,1.0,initi harder set call tech wasnt knowledg work great
5,30-Jul-18,Heather Gray Fabric ,It was very easy to set up and my family love it’s!,1.0,easi set famili love
5,30-Jul-18,Charcoal Fabric ,Has great sound and is very responsive my voice and commands.,1.0,great sound respons voic command
5,30-Jul-18,Sandstone Fabric ,How did I live this long without the Echo . You get to enjoy any music style  just my asking Alexa . Going to up-greade to the wireless . Love the Echo . Love you too Alexa .,1.0,live long without echo get enjoy music style ask alexa go upgread wireless love echo love alexa
5,30-Jul-18,Heather Gray Fabric ,Very cool product. Speaker sounds good with my Spotify blasting through it.,1.0,cool product speaker sound good spotifi blast
5,30-Jul-18,Charcoal Fabric ,Having so much fun with Alexa. Love being able to listen to music when I’m across the room or busy doing something else.,1.0,much fun alexa love abl listen music im across room busi someth els
5,30-Jul-18,Charcoal Fabric ,"""So far it seems to be a very nice item. It picks up on my voice and understands me without any problems. The other day I asked it to turn down the music from the next room and it heard me just fine. I've only used it to listen to music and check the weather, but it has done both of those things very well.""",1.0,far seem nice item pick voic understand without problem day ask turn music next room heard fine ive use listen music check weather done thing well
5,30-Jul-18,Charcoal Fabric ,Love our echo,1.0,love echo
5,30-Jul-18,Charcoal Fabric ,"""I love it,she is very helpful. I use her for remembering things and sleep. You can ask her just about anything. I have only had her for about a week so still learning her.""",1.0,love itsh help use rememb thing sleep ask anyth week still learn
4,30-Jul-18,Charcoal Fabric ,"""It's better than the 1st gen in every way except for one.  I really miss the ring at the top for volume control.  It was quicker and easier to just grab the top and twist without having to look at the buttons and find the &#34;-&#34; one and press it a few times.  I also wish the bass was a bit better.  All in all, it's a great device and I'm happy with it.""",1.0,better st gen everi way except one realli miss ring top volum control quicker easier grab top twist without look button find one press time also wish bass bit better great devic im happi
5,30-Jul-18,Charcoal Fabric ,I love having an Alexa!,1.0,love alexa
5,30-Jul-18,Charcoal Fabric ,So far I like it 🤓,1.0,far like
5,30-Jul-18,Heather Gray Fabric ,I am thoroughly enjoying my Ecoo!  Love to have it read my audiobook to me while in the office and then I can simply open the audiobook on my kindle to continue it when elsewhere. Wonderful for listening to music when not in the mood for a book. Great for setting reminders for myself too and so much more.,1.0,thoroughli enjoy ecoo love read audiobook offic simpli open audiobook kindl continu elsewher wonder listen music mood book great set remind much
5,30-Jul-18,Charcoal Fabric ,Still love it,1.0,still love
5,30-Jul-18,Charcoal Fabric ,Love it,1.0,love
5,30-Jul-18,Heather Gray Fabric ,"""I love the sound quality of this unit, it is a very clear sound.""",1.0,love sound qualiti unit clear sound
4,30-Jul-18,Sandstone Fabric ,I just this for listening to talk radio in the morning and turning lights on and off etc. The system does an excellent job as a full house sound system streaming Sirius.,1.0,listen talk radio morn turn light etc system excel job full hous sound system stream siriu
5,30-Jul-18,Charcoal Fabric ,"""I have had for only a week, so I am still learning all that Alexa can do.  It is a learning process.  I love the music I can call up any time.  I listen to podcasts and radio stations.  I have just started keeping shopping lists and grocery lists, which I love.  I don’t have to search for paper and pencil.  Getting time and temperature are great, do not have to wait for weather reports.  The sound is good.  I am not fussy about woofers, tweeters, base , etc.  the Echo is fine for me.  This afternoon I am going to try “dropping in”.on my son when he gets home.  Going to surprise him.""",1.0,week still learn alexa learn process love music call time listen podcast radio station start keep shop list groceri list love dont search paper pencil get time temperatur great wait weather report sound good fussi woofer tweeter base etc echo fine afternoon go tri drop inon son get home go surpris
1,30-Jul-18,Charcoal Fabric ,Not much features.,0.0,much featur
5,30-Jul-18,Charcoal Fabric ,"""Great sound quality, great features, great product. Multi room music is very cool.""",1.0,great sound qualiti great featur great product multi room music cool
5,30-Jul-18,Charcoal Fabric ,Cool,1.0,cool
5,30-Jul-18,Charcoal Fabric ,Everyone should have an Echo or two or three or more. I bought my Echo through QVC.,1.0,everyon echo two three bought echo qvc
5,30-Jul-18,Charcoal Fabric ,I have had Alexa since the beginning.  I accidentally spilled water on her and have replaced it with the 2nd generation.  I decided I couldn't be without an Echo.  Setup was easy and had it working within minutes.,1.0,alexa sinc begin accident spill water replac nd gener decid couldnt without echo setup easi work within minut
5,30-Jul-18,Charcoal Fabric ,"""I like being able to tell Alexia the music I want to hear, but sometimes she has trouble finding the song if I am not very specific about the title.""",1.0,like abl tell alexia music want hear sometim troubl find song specif titl
5,30-Jul-18,Heather Gray Fabric ,I like the looks better than the original echo.  I moved my old echo to the basement family room. Nice sound.,1.0,like look better origin echo move old echo basement famili room nice sound
5,30-Jul-18,Charcoal Fabric ,The Echo is wonderful but I'm still learning how to use it. Music requests are somewhat limited.,1.0,echo wonder im still learn use music request somewhat limit
5,30-Jul-18,Sandstone Fabric ,Love it,1.0,love
5,30-Jul-18,Sandstone Fabric ,awesome.understands my kids,1.0,awesomeunderstand kid
5,30-Jul-18,Charcoal Fabric ,We were pleasantly surprised at the sound quality and the many features. How nice to easily hear a particular artist or hear our books just by a simple command. Looking forward to exploring other options with this device.,1.0,pleasantli surpris sound qualiti mani featur nice easili hear particular artist hear book simpl command look forward explor option devic
5,30-Jul-18,Heather Gray Fabric ,Met and exceeded my expectations. Easy set up and is really quick in responses.,1.0,met exceed expect easi set realli quick respons
5,30-Jul-18,Charcoal Fabric ,"""I like the fact that I can get any kind of music from Prime that I want on request from Alexa. I liked the informative photo little pamphlet but wish it included how to connect your TV etc. to the commands from Alexa. BUT, I really love having the music.""",1.0,like fact get kind music prime want request alexa like inform photo littl pamphlet wish includ connect tv etc command alexa realli love music
4,30-Jul-18,Charcoal Fabric ,"""i have not found a way to access my echo thorough my prime account.  I think it should be part of the top line with video, music, etc.  I also think the setup app where i define, for example music i like, is not well integrated into echo.  I have tried to ask for my playlist and echo is not sure even though i set up play list in my settings.  I also do not like the fact that my words have to be exact match of my playlist names, which i can never remember.I like the ready nature of echo to respond to most any queries.""",1.0,found way access echo thorough prime account think part top line video music etc also think setup app defin exampl music like well integr echo tri ask playlist echo sure even though set play list set also like fact word exact match playlist name never rememberi like readi natur echo respond queri
5,30-Jul-18,Charcoal Fabric ,This is great item and just added audible books which makes it even better. Thank you!,1.0,great item ad audibl book make even better thank
5,30-Jul-18,Charcoal Fabric ,"""During Prime Day this 2nd gen Echo was on sale so I couldn't resist! This was the beginning to my smart home set up and I couldn't be happier to say that Alexa has done an amazing job connecting to all of my """"smart"""" devices. Thanks to her, I can control my lights, smart plugs, TV, etc. I had no trouble connecting the Echo to my WiFi and my phone. The app works perfectly fine and it let's you add skills, routines, smart devices, timers, and so much more! Sound quality is good enough for me, since I am not an audiophile. Alexa can hear my voice even when watching movies at a high volume. Design is great and modern, it will definitely add a nice touch to your home and you can change the covers if you'd like as there are more for sale. Overall, this is a great addition to my home and enables so many possibilities. If you haven't yet, be sure to add Alexa to your home!""",1.0,prime day nd gen echo sale couldnt resist begin smart home set couldnt happier say alexa done amaz job connect smart devic thank control light smart plug tv etc troubl connect echo wifi phone app work perfectli fine let add skill routin smart devic timer much sound qualiti good enough sinc audiophil alexa hear voic even watch movi high volum design great modern definit add nice touch home chang cover youd like sale overal great addit home enabl mani possibl havent yet sure add alexa home
5,30-Jul-18,Oak Finish ,Versatile and fun !!!,1.0,versatil fun
5,30-Jul-18,Heather Gray Fabric ,Works great! Killer speaker! My wife and son love it.,1.0,work great killer speaker wife son love
5,30-Jul-18,Walnut Finish ,We regret waiting so long to purchase this item. We are both surprised and pleased with the sound quality.,1.0,regret wait long purchas item surpris pleas sound qualiti
1,30-Jul-18,Sandstone Fabric ,"""Stopped working after 2 weeks ,didn't follow commands!? Really fun when it was working?""",0.0,stop work week didnt follow command realli fun work
